Time (ms);Distance (cm);Brightness (lux);a_x (m/s^2);a_y (m/s^2);a_z (m/s^2);a_mag (m/s^2);r_x (rad/s^2);r_y (rad/s^2);r_z (rad/s^2);roll (deg);pitch (deg);yaw (deg)
26902; 82.59 ; 35.00 ; 0.04 ; -0.27 ; 9.45 ; 9.46 ; 0.04 ; -0.08 ; -0.39 ; -1.66 ; -0.24 ; 57.19
27032; 83.39 ; 23.00 ; 0.00 ; -0.31 ; 9.45 ; 9.46 ; 0.05 ; -0.10 ; -0.17 ; -1.90 ; 0.00 ; 54.96
27165; 92.38 ; 21.00 ; 0.47 ; 0.08 ; 9.41 ; 9.43 ; 0.05 ; -0.11 ; -0.05 ; 0.48 ; -2.86 ; 48.24
27297; 74.57 ; 25.00 ; 1.18 ; 0.16 ; 9.34 ; 9.41 ; 0.05 ; -0.11 ; -0.00 ; 0.96 ; -7.18 ; 42.62
27427; 79.41 ; 27.00 ; 1.88 ; 0.35 ; 9.53 ; 9.72 ; 0.06 ; -0.12 ; 0.14 ; 2.12 ; -11.17 ; 37.29
27558; 89.61 ; 27.00 ; 2.35 ; 0.47 ; 9.30 ; 9.60 ; 0.05 ; -0.11 ; 0.09 ; 2.90 ; -14.19 ; 33.46
27689; 84.44 ; 49.00 ; 0.43 ; -0.16 ; 9.49 ; 9.50 ; 0.05 ; -0.11 ; 0.06 ; -0.95 ; -2.60 ; 50.58
27821; 82.88 ; 81.00 ; -0.16 ; -0.39 ; 9.41 ; 9.42 ; 0.06 ; -0.11 ; 0.06 ; -2.39 ; 0.95 ; 56.44
27954; 71.15 ; 140.00 ; 0.04 ; -0.35 ; 9.30 ; 9.30 ; 0.06 ; -0.10 ; 0.06 ; -2.17 ; -0.24 ; 54.49
28084; 88.49 ; 132.00 ; -0.08 ; -0.39 ; 9.41 ; 9.34 ; 0.05 ; -0.11 ; 0.06 ; -2.39 ; 0.48 ; 55.65
28214; 72.02 ; 87.00 ; -0.04 ; -0.35 ; 9.45 ; 9.46 ; 0.05 ; -0.11 ; 0.06 ; -2.14 ; 0.24 ; 55.54
28344; 91.24 ; 99.00 ; 0.04 ; -0.39 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; 0.06 ; -2.40 ; -0.24 ; 54.98
28475; 93.61 ; 126.00 ; 0.00 ; -0.27 ; 9.22 ; 9.22 ; 0.05 ; -0.11 ; 0.06 ; -1.71 ; 0.00 ; 54.29
28608; 91.82 ; 160.00 ; 0.00 ; -0.35 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.06 ; -2.17 ; 0.00 ; 55.09
28739; 70.23 ; 391.00 ; 0.12 ; -0.31 ; 9.18 ; 9.19 ; 0.05 ; -0.11 ; 0.06 ; -1.96 ; -0.73 ; 54.33
28868; 78.92 ; 632.00 ; -0.12 ; -0.24 ; 9.30 ; 9.30 ; 0.06 ; -0.11 ; 0.06 ; -1.45 ; 0.72 ; 54.56
28998; 94.00 ; 569.00 ; 0.04 ; -0.43 ; 9.34 ; 9.35 ; 0.05 ; -0.11 ; 0.06 ; -2.65 ; -0.24 ; 55.12
29129; 93.66 ; 422.00 ; 0.04 ; -0.31 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.06 ; -1.93 ; -0.24 ; 55.13
29263; 93.45 ; 321.00 ; 0.00 ; -0.31 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.05 ; -1.93 ; 0.00 ; 55.36
29488; 82.79 ; 345.00 ; -0.04 ; -0.35 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.05 ; -2.17 ; 0.24 ; 54.79
29618; 86.81 ; 304.00 ; -0.04 ; -0.27 ; 9.30 ; 9.30 ; 0.06 ; -0.11 ; 0.06 ; -1.69 ; 0.24 ; 55.36
29749; 99.01 ; 259.00 ; -0.08 ; -0.24 ; 9.14 ; 9.14 ; 0.05 ; -0.10 ; 0.05 ; -1.48 ; 0.49 ; 56.17
29880; 98.81 ; 261.00 ; 0.00 ; -0.27 ; 9.22 ; 9.22 ; 0.05 ; -0.11 ; 0.05 ; -1.71 ; 0.00 ; 55.16
30014; 94.22 ; 315.00 ; 0.00 ; -0.35 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.06 ; -2.17 ; 0.00 ; 56.16
30145; 72.78 ; 316.00 ; 0.04 ; -0.24 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; 0.05 ; -1.44 ; -0.24 ; 53.89
30275; 93.06 ; 325.00 ; -0.04 ; -0.43 ; 9.41 ; 9.42 ; 0.06 ; -0.11 ; 0.05 ; -2.62 ; 0.24 ; 56.90
30405; 83.20 ; 344.00 ; -0.04 ; -0.35 ; 9.26 ; 9.26 ; 0.06 ; -0.11 ; 0.05 ; -2.18 ; 0.24 ; 55.43
30536; 86.11 ; 363.00 ; -0.08 ; -0.31 ; 9.38 ; 9.38 ; 0.06 ; -0.11 ; 0.05 ; -1.92 ; 0.48 ; 56.51
30669; 92.40 ; 348.00 ; -0.08 ; -0.27 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; 0.05 ; -1.68 ; 0.48 ; 55.81
30800; 60.78 ; 355.00 ; -3.02 ; -1.61 ; 9.41 ; 10.02 ; -0.00 ; -0.01 ; -1.52 ; -9.69 ; 17.55 ; 85.92
30929; 92.18 ; 305.00 ; -0.47 ; -0.75 ; 9.38 ; 9.42 ; 0.04 ; -0.04 ; -1.06 ; -4.55 ; 2.87 ; 56.90
31060; 29.26 ; 366.00 ; -0.94 ; -1.06 ; 9.34 ; 9.44 ; 0.03 ; -0.07 ; -0.72 ; -6.47 ; 5.72 ; 57.15
31188; 23.84 ; 343.00 ; -0.67 ; -0.94 ; 9.30 ; 9.37 ; 0.05 ; -0.08 ; -0.40 ; -5.78 ; 4.08 ; 50.91
31319; 20.57 ; 326.00 ; -0.47 ; -0.90 ; 9.34 ; 9.39 ; 0.05 ; -0.11 ; 0.01 ; -5.52 ; 2.87 ; 46.09
31444; 18.48 ; 308.00 ; -0.43 ; -1.29 ; 9.30 ; 9.40 ; 0.07 ; -0.16 ; 0.88 ; -7.93 ; 2.63 ; 48.80
31571; 105.03 ; 324.00 ; -0.82 ; -0.90 ; 9.34 ; 9.42 ; 0.11 ; -0.24 ; 2.29 ; -5.52 ; 5.02 ; 54.90
31703; 84.26 ; 349.00 ; -0.43 ; -0.31 ; 9.45 ; 9.47 ; 0.11 ; -0.26 ; 2.48 ; -1.90 ; 2.61 ; 61.57
31834; 89.61 ; 357.00 ; 0.08 ; -0.47 ; 9.30 ; 9.31 ; 0.11 ; -0.28 ; 2.82 ; -2.90 ; -0.48 ; 70.80
31964; 13.53 ; 307.00 ; -0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.12 ; -0.29 ; 2.99 ; -3.13 ; 0.24 ; 86.01
32094; 86.11 ; 243.00 ; 0.04 ; -0.59 ; 9.22 ; 9.28 ; 0.12 ; -0.29 ; 2.98 ; -3.65 ; -0.24 ; 102.90
32224; 74.46 ; 256.00 ; 0.00 ; -0.43 ; 9.34 ; 9.35 ; 0.12 ; -0.29 ; 2.98 ; -2.65 ; 0.00 ; 119.89
32354; 88.24 ; 295.00 ; 0.04 ; -0.55 ; 9.18 ; 9.31 ; 0.12 ; -0.29 ; 2.98 ; -3.42 ; -0.24 ; 139.04
32485; 69.67 ; 272.00 ; 0.00 ; -0.51 ; 9.26 ; 9.27 ; 0.12 ; -0.29 ; 2.97 ; -3.15 ; 0.00 ; 159.78
32614; 96.87 ; 239.00 ; -0.24 ; -0.27 ; 9.34 ; 9.34 ; 0.11 ; -0.28 ; 2.84 ; -1.68 ; 1.44 ; -170.87
32748; 72.53 ; 336.00 ; -0.08 ; -0.71 ; 9.34 ; 9.36 ; 0.09 ; -0.21 ; 1.72 ; -4.33 ; 0.48 ; -155.30
32878; 86.76 ; 320.00 ; -0.12 ; -0.90 ; 9.26 ; 9.31 ; 0.06 ; -0.11 ; 0.18 ; -5.57 ; 0.72 ; -145.91
33009; 87.78 ; 312.00 ; -0.04 ; -0.59 ; 9.34 ; 9.35 ; 0.06 ; -0.13 ; 0.30 ; -3.61 ; 0.24 ; -140.09
33139; 84.97 ; 298.00 ; 0.24 ; -1.02 ; 9.26 ; 9.28 ; 0.06 ; -0.12 ; 0.30 ; -6.29 ; -1.45 ; -142.09
33270; 91.01 ; 268.00 ; 0.43 ; -0.55 ; 9.34 ; 9.36 ; 0.07 ; -0.13 ; 0.53 ; -3.37 ; -2.64 ; -125.68
33403; 89.94 ; 267.00 ; 0.04 ; -0.86 ; 9.30 ; 9.34 ; 0.06 ; -0.11 ; 0.17 ; -5.30 ; -0.24 ; -132.67
33534; 79.46 ; 261.00 ; -0.04 ; -0.82 ; 9.38 ; 9.41 ; 0.06 ; -0.11 ; 0.15 ; -5.02 ; 0.24 ; -132.64
33666; 91.31 ; 258.00 ; -0.08 ; 0.00 ; 9.38 ; 9.38 ; 0.06 ; -0.11 ; 0.06 ; 0.00 ; 0.48 ; -121.66
33796; 93.25 ; 254.00 ; -0.04 ; 0.12 ; 9.45 ; 9.45 ; 0.05 ; -0.10 ; -0.12 ; 0.71 ; 0.24 ; -119.88
33927; 81.11 ; 257.00 ; -0.12 ; 0.08 ; 9.38 ; 9.42 ; 0.05 ; -0.11 ; 0.02 ; 0.48 ; 0.72 ; -123.65
34060; 94.20 ; 234.00 ; -0.16 ; -0.35 ; 9.26 ; 9.27 ; 0.05 ; -0.10 ; -0.12 ; -2.18 ; 0.97 ; -131.72
34191; 86.91 ; 245.00 ; -0.04 ; -0.86 ; 9.30 ; 9.34 ; 0.05 ; -0.10 ; -0.14 ; -5.30 ; 0.24 ; -135.99
34322; 95.89 ; 250.00 ; 0.00 ; -0.71 ; 9.30 ; 9.32 ; 0.05 ; -0.11 ; 0.05 ; -4.34 ; 0.00 ; -134.36
34453; 95.02 ; 249.00 ; 0.00 ; -0.78 ; 9.26 ; 9.29 ; 0.06 ; -0.12 ; 0.23 ; -4.84 ; 0.00 ; -133.25
34584; 89.97 ; 237.00 ; -0.04 ; -0.67 ; 9.41 ; 9.44 ; 0.06 ; -0.13 ; 0.43 ; -4.05 ; 0.24 ; -128.46
34717; 79.11 ; 234.00 ; -0.08 ; -0.47 ; 9.45 ; 9.47 ; 0.06 ; -0.12 ; 0.23 ; -2.85 ; 0.47 ; -126.23
34848; 81.35 ; 223.00 ; -0.12 ; -0.35 ; 9.30 ; 9.30 ; 0.06 ; -0.12 ; 0.23 ; -2.17 ; 0.72 ; -125.79
34978; 83.13 ; 217.00 ; 0.08 ; -0.39 ; 9.30 ; 9.31 ; 0.06 ; -0.12 ; 0.23 ; -2.42 ; -0.48 ; -121.75
35108; 104.71 ; 217.00 ; 0.00 ; -0.24 ; 9.30 ; 9.30 ; 0.05 ; -0.12 ; 0.21 ; -1.45 ; 0.00 ; -115.57
35240; 92.93 ; 211.00 ; 0.04 ; -0.31 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.01 ; -1.93 ; -0.24 ; -114.64
35375; 95.89 ; 218.00 ; 0.08 ; -0.16 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; -0.02 ; -0.96 ; -0.48 ; -114.87
35506; 98.76 ; 221.00 ; -0.08 ; -0.08 ; 9.26 ; 9.26 ; 0.05 ; -0.11 ; -0.01 ; -0.49 ; 0.49 ; -118.50
35637; 85.07 ; 218.00 ; 0.00 ; -0.12 ; 9.22 ; 9.26 ; 0.05 ; -0.11 ; 0.05 ; -0.73 ; 0.00 ; -117.52
35767; 93.00 ; 217.00 ; -0.08 ; -0.04 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.04 ; -0.24 ; 0.48 ; -117.28
35898; 90.09 ; 206.00 ; -0.16 ; -0.04 ; 9.45 ; 9.45 ; 0.05 ; -0.10 ; -0.09 ; -0.24 ; 0.95 ; -118.47
36032; 93.91 ; 189.00 ; -0.24 ; 0.04 ; 9.49 ; 9.50 ; 0.05 ; -0.11 ; -0.02 ; 0.24 ; 1.42 ; -120.88
36163; 99.17 ; 197.00 ; -0.08 ; -0.16 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.04 ; -0.96 ; 0.48 ; -121.42
36295; 91.16 ; 205.00 ; -0.24 ; -0.27 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.09 ; -1.69 ; 1.45 ; -125.94
36426; 93.56 ; 213.00 ; -0.04 ; -0.31 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.01 ; -1.93 ; 0.24 ; -121.37
36557; 79.16 ; 216.00 ; 0.00 ; -0.71 ; 9.34 ; 9.36 ; 0.05 ; -0.10 ; -0.03 ; -4.33 ; 0.00 ; -125.15
36690; 83.70 ; 204.00 ; 0.12 ; -0.90 ; 9.22 ; 9.26 ; 0.05 ; -0.11 ; 0.06 ; -5.59 ; -0.73 ; -127.05
36820; 92.42 ; 198.00 ; 0.12 ; -1.10 ; 9.34 ; 9.40 ; 0.05 ; -0.11 ; 0.09 ; -6.71 ; -0.72 ; -127.97
36952; 77.63 ; 197.00 ; 0.16 ; -0.75 ; 9.38 ; 9.41 ; 0.06 ; -0.11 ; 0.08 ; -4.55 ; -0.96 ; -123.06
37082; 86.06 ; 192.00 ; 0.04 ; -0.59 ; 9.30 ; 9.32 ; 0.05 ; -0.10 ; -0.07 ; -3.62 ; -0.24 ; -121.90
37212; 67.56 ; 193.00 ; -0.08 ; -0.67 ; 9.45 ; 9.48 ; 0.06 ; -0.11 ; 0.06 ; -4.03 ; 0.47 ; -128.99
37345; 94.98 ; 204.00 ; -0.04 ; -0.16 ; 9.34 ; 9.34 ; 0.06 ; -0.11 ; 0.11 ; -0.96 ; 0.24 ; -120.08
37476; 82.83 ; 203.00 ; -0.08 ; -0.16 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.03 ; -0.95 ; 0.48 ; -120.18
37607; 79.53 ; 205.00 ; -0.04 ; 0.00 ; 9.57 ; 9.57 ; 0.05 ; -0.10 ; -0.06 ; 0.00 ; 0.23 ; -118.29
37736; 93.64 ; 210.00 ; -0.08 ; -0.04 ; 9.41 ; 9.41 ; 0.05 ; -0.10 ; -0.07 ; -0.24 ; 0.48 ; -119.51
37868; 96.16 ; 210.00 ; -0.27 ; 0.00 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; 0.00 ; 0.00 ; 1.68 ; -128.12
38001; 83.75 ; 193.00 ; -0.24 ; 0.04 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.06 ; 0.24 ; 1.43 ; -125.84
38132; 92.08 ; 192.00 ; -0.27 ; 0.04 ; 9.34 ; 9.34 ; 0.06 ; -0.12 ; 0.20 ; 0.24 ; 1.68 ; -123.80
38262; 92.33 ; 191.00 ; -0.24 ; 0.24 ; 9.49 ; 9.50 ; 0.05 ; -0.11 ; 0.20 ; 1.42 ; 1.42 ; -122.21
38393; 91.57 ; 198.00 ; -0.39 ; 0.12 ; 9.34 ; 9.34 ; 0.06 ; -0.12 ; 0.21 ; 0.72 ; 2.41 ; -125.31
38524; 82.68 ; 205.00 ; -0.20 ; 0.16 ; 9.57 ; 9.57 ; 0.06 ; -0.12 ; 0.25 ; 0.94 ; 1.17 ; -118.60
38654; 89.20 ; 216.00 ; -0.16 ; 0.27 ; 9.34 ; 9.34 ; 0.05 ; -0.10 ; 0.02 ; 1.68 ; 0.96 ; -116.10
38789; 89.46 ; 234.00 ; -0.51 ; 0.20 ; 9.38 ; 9.39 ; 0.05 ; -0.12 ; 0.22 ; 1.20 ; 3.11 ; -119.83
38920; 98.66 ; 250.00 ; -0.24 ; 0.63 ; 9.41 ; 9.44 ; 0.06 ; -0.13 ; 0.45 ; 3.81 ; 1.43 ; -112.39
39051; 88.41 ; 272.00 ; -0.04 ; 0.12 ; 9.49 ; 9.49 ; 0.05 ; -0.14 ; 0.47 ; 0.71 ; 0.24 ; -110.37
39182; 91.82 ; 292.00 ; -0.12 ; -0.39 ; 9.38 ; 9.38 ; 0.06 ; -0.12 ; 0.22 ; -2.40 ; 0.72 ; -111.32
39313; 89.48 ; 313.00 ; -0.04 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.12 ; 0.22 ; -1.93 ; 0.24 ; -107.62
39447; 98.66 ; 368.00 ; 0.00 ; -0.35 ; 9.30 ; 9.30 ; 0.06 ; -0.12 ; 0.22 ; -2.17 ; 0.00 ; -103.75
39578; 91.21 ; 384.00 ; 0.00 ; -0.27 ; 9.38 ; 9.38 ; 0.06 ; -0.12 ; 0.22 ; -1.68 ; 0.00 ; -105.17
39708; 88.66 ; 400.00 ; -0.04 ; -0.31 ; 9.38 ; 9.30 ; 0.06 ; -0.12 ; 0.22 ; -1.92 ; 0.24 ; -102.66
39839; 87.88 ; 415.00 ; -0.04 ; -0.43 ; 9.38 ; 9.39 ; 0.06 ; -0.12 ; 0.22 ; -2.64 ; 0.24 ; -98.05
39969; 95.85 ; 422.00 ; -0.12 ; -0.51 ; 9.34 ; 9.31 ; 0.07 ; -0.12 ; 0.22 ; -3.13 ; 0.72 ; -96.54
40103; 94.42 ; 421.00 ; -0.04 ; -0.20 ; 9.30 ; 9.30 ; 0.06 ; -0.12 ; 0.22 ; -1.21 ; 0.24 ; -94.38
40235; 89.37 ; 430.00 ; 0.04 ; -0.27 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.21 ; -1.67 ; -0.24 ; -91.51
40366; 104.54 ; 447.00 ; -0.04 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.11 ; 0.22 ; -1.93 ; 0.24 ; -88.50
40498; 108.35 ; 430.00 ; -0.08 ; -0.43 ; 9.38 ; 9.39 ; 0.06 ; -0.12 ; 0.22 ; -2.64 ; 0.48 ; -91.86
40630; 96.67 ; 401.00 ; -0.04 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.12 ; 0.22 ; -1.93 ; 0.24 ; -83.63
40764; 104.44 ; 382.00 ; -0.04 ; -0.24 ; 9.41 ; 9.42 ; 0.06 ; -0.12 ; 0.23 ; -1.43 ; 0.24 ; -83.20
40896; 102.40 ; 388.00 ; 0.04 ; -0.39 ; 9.34 ; 9.34 ; 0.06 ; -0.12 ; 0.23 ; -2.41 ; -0.24 ; -77.04
41027; 108.21 ; 380.00 ; -0.04 ; -0.35 ; 9.38 ; 9.38 ; 0.06 ; -0.12 ; 0.25 ; -2.16 ; 0.24 ; -83.31
41159; 142.35 ; 336.00 ; -0.04 ; -0.35 ; 9.26 ; 9.26 ; 0.06 ; -0.12 ; 0.26 ; -2.18 ; 0.24 ; -78.53
41293; 338.00 ; 357.00 ; 0.00 ; -0.51 ; 9.18 ; 9.19 ; 0.06 ; -0.12 ; 0.30 ; -3.18 ; 0.00 ; -74.13
41442; 198.10 ; 349.00 ; 0.04 ; -0.39 ; 9.30 ; 9.31 ; 0.06 ; -0.13 ; 0.35 ; -2.42 ; -0.24 ; -75.57
41579; 309.61 ; 311.00 ; 0.00 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.13 ; 0.37 ; -1.93 ; 0.00 ; -68.79
41722; 296.79 ; 320.00 ; 0.00 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.13 ; 0.40 ; -1.93 ; 0.00 ; -65.46
41866; 281.79 ; 349.00 ; 0.04 ; -0.35 ; 9.30 ; 9.30 ; 0.06 ; -0.13 ; 0.42 ; -2.17 ; -0.24 ; -62.13
42008; 269.96 ; 360.00 ; 0.00 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.13 ; 0.42 ; -1.93 ; 0.00 ; -60.85
42151; 255.13 ; 351.00 ; -0.04 ; -0.47 ; 9.26 ; 9.27 ; 0.06 ; -0.13 ; 0.42 ; -2.91 ; 0.24 ; -54.79
42293; 242.01 ; 369.00 ; -0.08 ; -0.35 ; 9.34 ; 9.34 ; 0.06 ; -0.13 ; 0.42 ; -2.17 ; 0.48 ; -52.87
42432; 229.75 ; 401.00 ; -0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.07 ; -0.14 ; 0.51 ; -3.13 ; 0.24 ; -50.49
42571; 218.50 ; 449.00 ; -0.04 ; -0.35 ; 9.26 ; 9.26 ; 0.06 ; -0.13 ; 0.51 ; -2.18 ; 0.24 ; -45.53
42710; 203.91 ; 469.00 ; 0.04 ; -0.35 ; 9.22 ; 9.23 ; 0.06 ; -0.14 ; 0.51 ; -2.19 ; -0.24 ; -43.24
42851; 197.59 ; 504.00 ; 0.04 ; -0.47 ; 9.18 ; 9.19 ; 0.06 ; -0.13 ; 0.51 ; -2.94 ; -0.24 ; -35.76
42988; 179.05 ; 485.00 ; 0.00 ; -0.39 ; 9.34 ; 9.34 ; 0.06 ; -0.14 ; 0.50 ; -2.41 ; 0.00 ; -34.62
43124; 173.51 ; 559.00 ; 0.04 ; -0.35 ; 9.26 ; 9.26 ; 0.06 ; -0.14 ; 0.50 ; -2.18 ; -0.24 ; -31.50
43259; 162.46 ; 521.00 ; 0.00 ; -0.35 ; 9.38 ; 9.38 ; 0.06 ; -0.13 ; 0.50 ; -2.16 ; 0.00 ; -27.34
43395; 238.52 ; 521.00 ; 0.00 ; -0.24 ; 9.45 ; 9.46 ; 0.06 ; -0.14 ; 0.50 ; -1.43 ; 0.00 ; -24.69
43537; 138.52 ; 542.00 ; -0.12 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.14 ; 0.50 ; -1.93 ; 0.72 ; -21.94
43671; 130.72 ; 500.00 ; -0.08 ; -0.27 ; 9.22 ; 9.22 ; 0.06 ; -0.13 ; 0.50 ; -1.71 ; 0.49 ; -18.53
43804; 119.64 ; 532.00 ; -0.04 ; -0.35 ; 9.34 ; 9.34 ; 0.07 ; -0.13 ; 0.50 ; -2.17 ; 0.24 ; -12.15
43936; 109.78 ; 571.00 ; 0.00 ; -0.39 ; 9.26 ; 9.42 ; 0.07 ; -0.14 ; 0.50 ; -2.43 ; 0.00 ; -8.03
44068; 99.98 ; 577.00 ; -0.04 ; -0.35 ; 9.22 ; 9.23 ; 0.06 ; -0.14 ; 0.50 ; -2.19 ; 0.24 ; -3.89
44203; 63.60 ; 543.00 ; 0.00 ; -0.24 ; 9.34 ; 8.79 ; 0.06 ; -0.13 ; 0.50 ; -1.44 ; 0.00 ; -1.50
44332; 62.17 ; 547.00 ; -0.04 ; -0.27 ; 9.14 ; 9.14 ; 0.06 ; -0.13 ; 0.50 ; -1.72 ; 0.25 ; -0.34
44461; 63.29 ; 543.00 ; -0.08 ; -0.31 ; 9.34 ; 9.34 ; 0.06 ; -0.13 ; 0.50 ; -1.93 ; 0.48 ; 3.85
44590; 66.51 ; 539.00 ; 0.94 ; -2.08 ; 9.38 ; 9.65 ; -0.05 ; -0.16 ; 0.44 ; -12.50 ; -5.60 ; 21.42
44720; 1926.88 ; 497.00 ; -7.14 ; -1.92 ; 6.63 ; 9.93 ; 0.12 ; 1.04 ; 0.11 ; -16.17 ; 45.97 ; 125.88
44962; 67.00 ; 491.00 ; 0.00 ; 1.29 ; 9.34 ; 9.43 ; -0.05 ; -0.06 ; -0.95 ; 7.89 ; 0.00 ; -6.11
45091; 68.75 ; 511.00 ; 0.39 ; 0.00 ; 9.26 ; 9.27 ; 0.04 ; -0.09 ; -0.29 ; 0.00 ; -2.43 ; 3.65
45220; 68.06 ; 527.00 ; -0.47 ; 0.55 ; 9.57 ; 9.60 ; 0.05 ; -0.11 ; 0.12 ; 3.28 ; 2.81 ; -2.84
45349; 66.90 ; 536.00 ; -1.41 ; 0.90 ; 9.30 ; 9.44 ; 0.06 ; -0.11 ; 0.24 ; 5.54 ; 8.60 ; -8.29
45479; 64.16 ; 533.00 ; -0.35 ; 0.47 ; 9.10 ; 9.12 ; 0.07 ; -0.16 ; 1.09 ; 2.96 ; 2.22 ; 2.70
45608; 59.86 ; 515.00 ; -0.94 ; -0.71 ; 9.41 ; 9.49 ; 0.09 ; -0.18 ; 1.55 ; -4.29 ; 5.69 ; 27.89
45741; 10.27 ; 547.00 ; -0.24 ; -0.27 ; 9.38 ; 9.38 ; 0.10 ; -0.21 ; 2.04 ; -1.68 ; 1.44 ; 31.04
45867; 12.72 ; 487.00 ; -0.16 ; -0.27 ; 9.30 ; 9.30 ; 0.09 ; -0.21 ; 2.05 ; -1.69 ; 0.97 ; 43.40
45992; 791.86 ; 544.00 ; -0.08 ; -0.31 ; 9.30 ; 9.26 ; 0.09 ; -0.21 ; 2.05 ; -1.93 ; 0.48 ; 56.59
46166; 416.71 ; 528.00 ; 0.00 ; -0.24 ; 9.49 ; 9.50 ; 0.09 ; -0.21 ; 2.05 ; -1.42 ; 0.00 ; 66.66
46315; 254.61 ; 524.00 ; 0.16 ; -1.41 ; 9.14 ; 9.25 ; -0.00 ; -0.15 ; 0.89 ; -8.78 ; -0.97 ; 78.45
46458; 209.71 ; 560.00 ; 0.00 ; -1.41 ; 9.26 ; 9.36 ; 0.07 ; -0.16 ; 1.02 ; -8.67 ; 0.00 ; 83.74
46597; 109.13 ; 532.00 ; -0.86 ; -0.20 ; 9.34 ; 9.38 ; 0.06 ; -0.13 ; 0.35 ; -1.20 ; 5.28 ; 95.58
46729; 177.10 ; 484.00 ; -0.35 ; -0.75 ; 9.30 ; 9.33 ; 0.05 ; -0.10 ; -0.12 ; -4.58 ; 2.17 ; 94.77
46864; 164.35 ; 529.00 ; -0.35 ; -0.71 ; 9.30 ; 9.33 ; 0.05 ; -0.09 ; -0.21 ; -4.34 ; 2.17 ; 91.62
46999; 142.86 ; 478.00 ; -0.24 ; -0.51 ; 9.22 ; 9.24 ; 0.05 ; -0.12 ; 0.18 ; -3.17 ; 1.46 ; 90.70
47136; 217.21 ; 467.00 ; 0.00 ; -0.75 ; 9.38 ; 9.40 ; 0.06 ; -0.13 ; 0.42 ; -4.55 ; 0.00 ; 89.12
47275; 105.70 ; 474.00 ; -0.12 ; -0.27 ; 9.41 ; 9.42 ; 0.05 ; -0.12 ; 0.25 ; -1.67 ; 0.72 ; 91.97
47407; 232.68 ; 453.00 ; 0.08 ; -0.67 ; 9.38 ; 9.40 ; 0.06 ; -0.13 ; 0.43 ; -4.07 ; -0.48 ; 92.96
47546; 101.67 ; 457.00 ; 0.04 ; -0.31 ; 9.34 ; 9.34 ; 0.07 ; -0.14 ; 0.77 ; -1.93 ; -0.24 ; 93.48
47677; 142.09 ; 421.00 ; -0.24 ; -0.08 ; 9.41 ; 9.42 ; 0.06 ; -0.14 ; 0.58 ; -0.48 ; 1.43 ; 100.76
47814; 302.19 ; 434.00 ; -0.12 ; 0.35 ; 9.41 ; 9.42 ; 0.06 ; -0.11 ; 0.11 ; 2.15 ; 0.72 ; 104.48
47958; 107.91 ; 436.00 ; -0.12 ; 0.24 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.09 ; 1.43 ; 0.72 ; 104.16
48090; 148.11 ; 397.00 ; 0.08 ; -0.12 ; 9.49 ; 9.49 ; 0.06 ; -0.11 ; 0.04 ; -0.71 ; -0.47 ; 102.42
48224; 130.30 ; 426.00 ; -0.04 ; -0.27 ; 9.45 ; 9.46 ; 0.05 ; -0.11 ; 0.08 ; -1.66 ; 0.24 ; 104.13
48357; 334.00 ; 412.00 ; -0.12 ; -0.27 ; 9.22 ; 9.22 ; 0.05 ; -0.11 ; 0.11 ; -1.71 ; 0.73 ; 104.73
48505; 133.29 ; 443.00 ; -0.12 ; -0.24 ; 9.30 ; 9.30 ; 0.07 ; -0.09 ; -0.13 ; -1.45 ; 0.72 ; 103.60
48638; 229.53 ; 427.00 ; -0.08 ; -0.27 ; 9.34 ; 9.34 ; 0.04 ; -0.10 ; -0.15 ; -1.68 ; 0.48 ; 103.05
